,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
126,not ( not ( not ( x_2 >= 0.223 ) ) ),"not ( ( ( ( x_2 <= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1525 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.1505 ) ) ) )",not ( not ( not ( x_2 <= -0.1891 ) ) ),"always[1,13] ( x_2 >= -0.0222 )","always[4,15] ( not ( x_2 <= -0.0756 ) )"
127,not ( ( ( x_2 <= -0.733 or x_2 <= -0.733 ) and ( x_2 <= -0.736 or x_2 <= -0.766 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 <= -0.7055 ) or ( x_2 >= -0.7055 and x_2 >= -0.7005 ) ) or ( ( x_2 >= -0.0005 until[10,22] x_2 >= -0.0005 ) until[10,22] ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )",not ( ( ( x_2 <= -0.7693 or x_2 <= -0.9691 ) and ( x_2 <= -0.9697 and x_2 <= -0.9697 ) ) ),not ( x_2 <= -0.7623 ),not ( x_2 <= -0.7395 )
128,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.2005 or x_2 >= -0.2005 ) ) ),not ( not ( not ( x_2 >= -0.1591 ) ) ),not ( x_2 >= -0.1222 ),not ( x_2 >= -0.2111 )
129,( ( ( x_2 <= 0.333 or x_2 <= 0.333 ) and ( x_1 <= 0.323 or x_2 <= 0.363 ) ) and ( ( x_1 <= 0.363 or x_2 <= 0.363 ) or ( x_1 <= 0.363 and x_1 <= 0.363 ) ) ),"( ( ( ( x_2 <= 0.5155 or x_2 <= 0.1055 ) or ( x_2 <= 0.1055 or x_2 <= 0.0006 ) ) or ( ( x_2 <= 0.1555 or x_2 <= 0.0005 ) or ( x_2 <= 0.1555 or x_2 <= 0.1555 ) ) ) until[1,10] ( ( ( x_2 <= 0.1555 or x_2 <= 0.0005 ) or ( x_2 <= 0.1555 or x_2 <= 0.1555 ) ) or ( ( x_2 <= 0.1555 or x_2 <= 0.1505 ) or ( x_1 <= 0.1555 or x_2 <= 0.1555 ) ) ) )",( ( ( x_2 <= 0.2291 or x_2 <= 0.1697 ) and ( x_1 <= 0.2997 and x_1 <= 0.1997 ) ) and ( ( x_2 <= 0.3997 and x_1 <= 0.2997 ) and ( x_1 <= 0.2997 and x_2 <= 0.2997 ) ) ),"( x_2 <= 0.4299 until[1,10] x_1 <= 0.5299 )","eventually[18,20] ( ( x_1 <= 0.8913 and x_2 <= 0.4152 ) )"
130,( ( ( x_2 <= -0.233 or x_2 <= -0.233 ) and ( x_0 >= -0.363 or x_2 <= -0.363 ) ) and ( ( x_2 <= -0.363 or x_0 >= -0.363 ) or ( x_1 <= -0.363 and x_2 >= -0.363 ) ) ),"( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) and ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1005 or x_2 <= -0.0505 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.2505 or x_2 <= -0.0505 ) ) ) )",( ( ( x_2 <= -0.0391 or x_2 <= -0.039 ) or ( x_2 <= -0.0397 and x_0 <= -0.0397 ) ) and ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) and ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ),"( x_2 <= -0.229 until[19,21] x_0 >= -1.0222 )","( x_0 >= -1.0551 until[1,11] x_2 <= 0.0326 )"
131,"( ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) and ( x_2 >= -0.233 or x_0 >= -0.3632 ) ) until[2,inf] ( ( x_1 >= -0.3332 or x_2 >= -0.3632 ) or ( x_0 >= -0.3632 or x_1 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.1505 or x_2 <= -0.0505 ) or ( x_0 >= -0.2005 or x_2 >= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0097 ) or ( x_2 >= -0.0097 or x_2 >= -0.0097 ) ) or ( ( x_2 >= -0.0667 or x_0 >= -0.0667 ) or ( x_2 >= -0.0667 and x_2 >= -0.0667 ) ) ) until[10,22] ( ( ( x_0 >= -0.0097 or x_2 >= -0.0667 ) or ( x_0 >= -0.0697 or x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0997 and x_2 >= -0.0097 ) or ( x_0 >= -0.069 and x_0 >= -0.009 ) ) ) )","( x_2 >= -0.2929 until[19,21] x_2 >= 0.4229 )","( ( always[19,21] ( eventually[13,17] ( ( x_2 >= -0.1081 and x_2 >= -0.0622 ) ) ) until[12,18] x_2 <= 0.6788 ) or ( not ( x_2 <= -0.0571 ) and not ( x_0 <= 0.2508 ) ) )"
132,"( ( ( x_2 <= 0.233 or x_2 <= 0.223 ) and ( x_2 <= 0.223 or x_2 <= 0.2232 ) ) until[1,21] ( ( x_1 <= 0.333 or x_2 <= 0.3232 ) or ( x_1 <= -0.3232 or x_2 <= 0.363 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1525 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0005 ) or ( x_0 <= -0.1525 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) until[1,19] ( ( ( x_1 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) )","( x_2 <= 0.2929 until[19,21] x_1 <= 1.0222 )",( x_1 <= 1.3808 until x_2 <= 0.0902 )
133,not ( ( ( x_2 <= 0.233 or x_2 <= 0.0332 ) or ( x_2 <= -0.1332 or x_2 <= -0.1332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[15,18] ( x_2 >= -0.0222 )","always[16,18] ( x_2 >= 0.0013 )"
134,"( ( ( x_2 >= -0.333 or x_1 >= -0.333 ) and ( x_2 >= -0.363 or x_1 >= -0.363 ) ) until[2,23] ( ( x_1 >= -0.363 or x_2 >= -0.3632 ) or ( x_1 >= -0.3632 and x_1 >= -0.3632 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_1 >= -0.0005 or x_2 >= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_1 >= -0.0005 or x_2 >= -0.0095 ) ) ) )","( ( ( ( x_2 >= -0.0663 or x_2 >= -0.0667 ) or ( x_2 >= -0.0667 or x_2 >= -0.0667 ) ) until[10,29] ( ( x_2 >= -0.0667 or x_2 >= -0.0667 ) or ( x_1 >= -0.0667 or x_2 >= -0.0667 ) ) ) until[1,inf] ( ( ( x_1 >= -0.0967 or x_2 >= -0.0667 ) or ( x_1 >= -0.096 or x_2 >= -0.096 ) ) or ( ( x_2 >= -0.096 and x_2 >= -0.0967 ) and ( x_1 >= -0.096 or x_2 >= -0.096 ) ) ) )","( x_2 >= -0.4229 until[1,10] x_1 >= -0.6229 )","( eventually[11,20] ( always[12,19] ( x_2 >= -0.4059 ) ) until[12,16] x_1 >= -0.4157 )"
135,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1055 ) or ( x_2 >= -0.1055 or x_2 >= -0.1525 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),not ( x_2 >= -0.0222 ),not ( x_2 >= -0.1305 )
136,not ( not ( not ( x_2 >= 0.533 ) ) ),not ( ( ( x_2 <= 0.5155 or x_2 <= -0.5055 ) or ( x_2 <= -0.0055 or x_2 <= 0.5555 ) ) ),not ( not ( not ( x_2 <= 0.5999 ) ) ),not ( x_2 <= 0.4223 ),not ( x_2 <= 0.503 )
137,( x_0 >= -0.563 or x_0 >= 0.563 ),( x_0 <= -0.6555 or x_0 <= 0.5055 ),( x_0 <= 0.509 or x_0 >= -0.509 ),( x_0 <= -0.6299 or x_0 >= 0.6999 ),not ( ( x_0 >= -0.4879 and x_0 <= 0.8433 ) )
138,( ( ( x_2 <= 0.333 or x_2 <= -0.333 ) or ( x_1 <= -0.333 and x_2 <= -0.363 ) ) or ( ( x_1 <= -0.333 and x_2 <= -0.363 ) and ( x_1 <= -0.363 or x_2 <= -0.363 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2225 until[20,29] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.036 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_1 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) until[10,25] ( ( x_1 <= -0.039 or x_2 <= -0.039 ) or ( x_0 <= -0.039 and x_0 <= -0.009 ) ) ) )",( x_2 <= 0.2925 or x_1 <= -0.2299 ),"not ( ( x_1 >= -0.4154 until[1,7] x_2 >= 0.2585 ) )"
139,"( ( ( x_2 >= -0.433 or x_1 >= -0.463 ) and ( x_1 >= -0.463 or x_2 >= -0.463 ) ) until[1,23] ( ( x_1 >= -0.4632 or x_2 >= -0.4632 ) or ( x_1 >= -0.4632 or x_1 >= -0.4662 ) ) )","( ( ( ( x_2 >= -0.5555 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,15] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.0005 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_1 >= -0.0005 or x_2 >= -0.0095 ) ) ) )","( ( ( ( x_2 >= -0.6663 or x_2 >= -0.6667 ) or ( x_2 >= -0.0667 and x_2 >= -0.6667 ) ) or ( ( x_2 >= -0.6667 and x_2 >= -0.0667 ) and ( x_2 >= -0.0667 and x_2 >= -0.0667 ) ) ) until[1,19] ( ( ( x_1 >= -0.6667 or x_2 >= -0.0666 ) or ( x_2 >= -0.0666 and x_2 >= -0.066 ) ) or ( ( x_2 >= -0.096 and x_2 >= -0.0666 ) and ( x_1 >= -0.096 or x_2 >= -0.096 ) ) ) )",( x_2 >= -0.6929 and x_1 >= -0.6923 ),( x_2 >= -0.9935 and x_1 >= -0.7912 )
140,"( ( ( x_2 <= 0.333 or x_2 <= 0.333 ) or ( x_2 <= 0.333 and x_2 <= 0.333 ) ) until[23,33] ( ( x_2 <= 0.333 or x_2 <= 0.3232 ) or ( x_1 <= -0.333 until[26,33] x_2 <= 0.3332 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) until[20,23] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.1505 until[22,30] x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.0505 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.1555 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) until[15,28] ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) until[10,22] not ( ( ( x_2 >= -0.0397 and x_2 >= -0.0397 ) and ( x_2 >= -0.0397 and x_2 >= -0.0097 ) ) ) )","eventually[19,inf] ( x_2 <= 0.429 )","always[5,inf] ( x_2 <= 0.562 )"
141,"( ( ( x_2 <= -0.333 or x_2 >= -0.333 ) or ( x_2 >= -0.363 or x_2 >= -0.363 ) ) or ( ( x_2 >= -0.363 until[2,28] x_2 <= -0.363 ) or ( x_2 >= -0.363 until[2,28] x_2 <= -0.363 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.2005 until[25,33] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2005 until[22,30] x_2 <= -0.0525 ) ) ) )",( ( ( ( x_2 <= -0.0337 or x_2 >= -0.0367 ) or ( x_2 <= -0.0367 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) ) or ( ( ( x_2 <= -0.0997 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.096 or x_2 <= -0.0397 ) or ( x_0 <= -0.039 and x_2 <= -0.099 ) ) ) ),( x_2 <= -0.4299 or x_2 <= -0.4999 ),"( eventually[5,17] ( not ( x_2 >= -0.2529 ) ) or ( always[8,15] ( eventually[6,18] ( x_1 <= 0.3382 ) ) and eventually ( ( x_2 >= 1.1005 until x_2 >= 0.7659 ) ) ) )"
142,"( ( ( ( x_2 <= -0.333 or x_2 <= -0.333 ) or ( x_1 >= -0.233 or x_2 >= -0.363 ) ) or ( ( x_1 >= -0.363 and x_2 >= -0.363 ) and ( x_1 >= -0.363 or x_2 >= -0.3632 ) ) ) until[2,inf] ( ( ( x_1 >= -0.3632 or x_2 >= -0.3632 ) or ( x_1 >= -0.3632 or x_1 >= -0.3632 ) ) or ( ( x_1 >= -0.3632 or x_2 >= -0.3632 ) or ( x_1 >= -0.3632 and x_1 >= -0.4632 ) ) ) )","( ( ( ( x_2 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[25,33] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[27,34] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[23,30] x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2005 until[26,32] x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_2 <= -0.0397 ) ) ) until[10,22] ( ( ( x_1 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.0997 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.099 and x_0 <= -0.099 ) ) ) )","( x_2 <= -0.5299 or ( x_1 >= -0.5299 until[19,21] x_2 <= -0.4299 ) )","always[13,inf] ( ( always ( ( x_1 <= -0.7922 or ( x_2 <= -0.1059 and x_2 <= -0.1772 ) ) ) until[7,14] x_1 >= -1.5075 ) )"
143,"( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= -0.3332 or x_2 >= 0.3332 ) ) until[13,23] ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.3332 or x_2 >= -0.3332 ) ) )","( ( ( ( x_2 >= -0.1555 or x_2 >= -0.0055 ) or ( x_2 >= -0.1055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.1555 and x_2 <= -0.0005 ) and ( x_2 <= -0.1555 until[12,25] x_2 <= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.1555 or x_2 >= -0.0505 ) or ( x_2 <= -0.1555 or x_2 >= -0.1505 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.1505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1505 ) ) ) )","( ( ( ( x_2 >= -0.0037 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0097 ) and ( x_0 >= -0.0097 and x_0 >= -0.0397 ) ) ) until[1,19] ( ( ( x_0 >= -0.0097 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 and x_0 >= -0.0099 ) ) or ( ( x_0 >= -0.0097 and x_0 >= -0.0099 ) and ( x_0 >= -0.0097 and x_0 >= -0.0099 ) ) ) )","always[16,20] ( x_2 >= 0.3222 )","always[11,18] ( always[1,14] ( x_2 >= 0.2898 ) )"
144,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.1005 or x_2 >= -0.2225 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),"eventually[1,13] ( x_2 <= -0.0222 )","always[0,16] ( x_2 <= -0.0917 )"
145,not ( ( ( x_2 >= 0.333 or x_2 >= 0.333 ) or ( x_2 >= 0.333 or x_2 >= 0.333 ) ) ),not ( ( ( x_2 >= -0.1055 and x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.3391 ) ) ),"eventually[1,13] ( x_2 <= 0.2223 )","always[11,15] ( x_2 <= 0.324 )"
146,"always[28,34] ( eventually[2,inf] ( not ( x_2 <= 0.2332 ) ) )","eventually[29,34] ( eventually[10,22] ( not ( not ( x_2 >= 0.1055 ) ) ) )","eventually[10,inf] ( always[10,22] ( always[10,13] ( not ( x_2 <= 0.4097 ) ) ) )","eventually[19,inf] ( x_2 >= 0.2525 )","always[11,16] ( eventually[9,inf] ( x_2 >= 0.2778 ) )"
147,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.2005 or x_2 >= -0.2225 ) ) ),not ( not ( not ( x_2 >= -0.2391 ) ) ),"eventually[1,13] ( x_2 <= -0.1222 )","eventually[13,15] ( x_2 <= -0.2031 )"
148,"( ( ( x_1 <= -0.533 or x_0 >= -0.433 ) or ( x_1 >= -0.433 and x_0 >= -0.533 ) ) until[15,23] ( ( x_1 >= -0.6332 or x_2 >= -0.4332 ) or ( x_1 >= -0.4332 or x_2 >= -0.432 ) ) )","( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 until[22,30] x_0 <= -0.0555 ) ) or ( ( x_0 <= -0.0505 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 >= -0.0367 ) or ( x_0 <= -0.0397 or x_1 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 >= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 >= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.039 and x_2 >= -0.039 ) ) ) )",( x_1 <= -0.6299 or x_2 <= 0.6299 ),( x_2 >= 1.0378 or x_1 <= -0.7829 )
149,not ( ( ( x_2 <= 0.5332 or x_2 <= 0.5332 ) or ( x_2 <= 0.6332 or x_2 <= 0.633 ) ) ),( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) and ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ),not ( not ( not ( x_2 <= 0.7099 ) ) ),not ( x_2 <= 0.6223 ),"always[2,7] ( x_2 >= 0.6413 )"
150,"( ( ( ( x_2 >= -0.233 or x_0 >= -0.333 ) or ( x_1 >= -0.2332 or x_0 >= -0.3632 ) ) or ( ( x_1 >= -0.2632 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 until[2,inf] x_1 >= -0.3232 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3332 or x_1 >= -0.2322 ) or ( x_1 >= -0.2322 or x_1 >= -0.2632 ) ) or ( ( x_1 >= -0.2632 or x_1 >= -0.2632 ) or ( x_1 >= -0.2632 or x_1 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[25,32] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[27,34] x_2 <= -0.0005 ) or ( x_0 <= -0.0005 until[23,30] x_0 <= -0.0555 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0505 ) or ( x_0 <= -0.2005 until[26,34] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_0 >= -0.0367 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0367 ) or ( x_0 >= -0.0397 or x_2 >= -0.0367 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0697 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.069 and x_2 >= -0.009 ) ) ) )","( ( x_2 <= -0.2929 or x_1 >= -0.2929 ) or ( x_2 >= -0.2929 until[19,21] x_0 >= -0.2929 ) )","( always[15,18] ( ( eventually[11,21] ( ( x_2 >= 1.1858 or eventually[10,inf] ( ( x_1 >= 1.5381 or x_2 <= -0.2261 ) ) ) ) or eventually[11,20] ( eventually[9,20] ( ( always[1,5] ( x_0 >= 0.9976 ) or ( x_0 <= -0.5336 until[2,18] x_2 <= -0.4756 ) ) ) ) ) ) until[4,6] x_1 >= -1.0171 )"
151,"( ( ( ( x_2 >= -0.533 or x_2 >= -0.363 ) or ( x_2 >= -0.3632 or x_2 >= -0.3632 ) ) or ( ( x_2 >= -0.3632 or x_1 >= -0.3632 ) or ( x_0 >= -0.3632 until[2,inf] x_1 >= -0.3632 ) ) ) until[2,inf] ( ( ( x_2 >= -0.3632 or x_1 >= -0.2632 ) or ( x_1 >= -0.3632 or x_2 >= -0.2632 ) ) or ( ( x_1 >= -0.3632 or x_1 >= -0.2632 ) or ( x_1 >= -0.2632 or x_2 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[25,32] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2005 until[25,34] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2005 until[26,34] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0337 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_2 >= -0.0367 ) ) or ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_0 >= -0.0667 ) ) ) or ( ( ( x_0 >= -0.0997 or x_2 >= -0.0397 ) or ( x_0 >= -0.0697 or x_2 >= -0.0397 ) ) until[10,22] ( ( x_2 >= -0.0397 or x_2 >= -0.0397 ) or ( x_2 >= -0.039 or x_2 >= -0.039 ) ) ) )",( x_2 <= -0.8299 or x_2 >= -0.8999 ),"eventually ( ( ( ( ( ( x_0 >= 1.0815 and ( x_0 >= 2.2284 or not ( x_2 >= -0.3255 ) ) ) or ( ( x_0 >= -0.6596 and x_1 <= 0.9933 ) until ( x_1 <= -2.7137 until[15,21] x_0 <= -1.219 ) ) ) until[18,20] always[14,18] ( x_2 >= -1.1932 ) ) or x_2 >= 1.1344 ) or x_2 <= -0.861 ) )"
