,Formula
1821,"( not ( not ( not ( x_0 <= -0.7024 ) ) ) or ( ( not ( x_2 >= -2.5416 ) until[10,20] eventually[24,26] ( x_0 <= 0.8534 ) ) and ( ( x_2 <= -0.6075 and x_1 <= -1.2986 ) and ( x_2 <= -1.4931 and x_1 <= -1.0163 ) ) ) )"
1822,"not ( ( ( ( x_1 <= 0.4435 until[25,35] x_2 <= 0.0587 ) and eventually[12,15] ( x_3 <= -0.4114 ) ) and ( eventually[5,24] ( x_3 >= 0.0296 ) or eventually[10,24] ( x_1 >= 1.1409 ) ) ) )"
1823,"always[22,33] ( ( not ( ( x_1 <= -1.0742 and x_2 >= -0.021 ) ) or ( not ( x_0 <= -0.3165 ) and ( x_3 <= 0.4044 or x_3 >= 0.7368 ) ) ) )"
1824,"( eventually[1,32] ( not ( eventually[1,inf] ( x_3 >= -1.0263 ) ) ) and ( eventually[9,11] ( ( x_3 >= -0.7549 and x_0 >= -0.0967 ) ) until[33,36] not ( eventually[26,31] ( x_2 <= 1.2348 ) ) ) )"
1825,"( eventually[16,30] ( not ( ( x_1 >= 0.0105 or x_2 <= 0.3849 ) ) ) or always ( ( ( x_3 <= 1.5267 and x_2 >= 2.139 ) or not ( x_1 <= 1.4889 ) ) ) )"
1826,"not ( ( eventually[23,35] ( eventually[19,28] ( x_0 <= -0.9067 ) ) or ( ( x_2 <= -0.9648 and x_2 <= 0.6475 ) or not ( x_3 >= 1.4906 ) ) ) )"
1827,"always[0,2] ( eventually[32,34] ( eventually[24,inf] ( always[23,25] ( x_0 >= 0.3055 ) ) ) )"
1828,"( eventually[5,14] ( eventually[17,19] ( ( x_1 >= 0.8615 and x_0 <= 2.1327 ) ) ) or eventually[28,30] ( ( ( x_2 >= -1.326 or x_2 >= 0.5327 ) or ( x_0 >= 1.0225 and x_2 <= -2.1775 ) ) ) )"
1829,"( ( eventually ( eventually[13,32] ( x_3 >= 0.6029 ) ) until[26,inf] always[2,34] ( ( x_1 >= -0.643 or x_1 <= 0.4163 ) ) ) and always[33,36] ( always[0,5] ( eventually[28,34] ( x_3 >= 0.3498 ) ) ) )"
1830,"eventually[10,16] ( ( ( eventually[4,10] ( x_3 >= -0.89 ) or eventually[0,5] ( x_3 >= 0.9086 ) ) and eventually[23,25] ( not ( x_0 >= -0.9146 ) ) ) )"
1831,"always[6,21] ( ( ( ( x_0 <= 2.2491 or x_2 >= 1.2989 ) and not ( x_2 >= 0.2257 ) ) and ( not ( x_0 >= 1.211 ) until not ( x_3 >= 0.9075 ) ) ) )"
1832,"( always[17,35] ( ( always[22,26] ( x_0 <= -1.0777 ) or eventually[33,35] ( x_1 <= -1.3499 ) ) ) and ( not ( ( x_1 >= -1.3481 until[13,16] x_2 <= 0.1592 ) ) or ( ( x_2 <= -0.9039 until[32,34] x_1 >= 0.7105 ) until[21,34] ( x_3 >= -0.5235 and x_0 <= 0.1911 ) ) ) )"
1833,"( eventually[28,35] ( ( not ( x_0 >= -1.5754 ) and ( x_0 <= -0.715 or x_2 <= -0.0462 ) ) ) and ( eventually[25,inf] ( not ( x_2 >= 0.5197 ) ) or ( not ( x_2 <= -1.3286 ) until[33,35] ( x_3 >= -0.4958 and x_1 <= -1.7624 ) ) ) )"
1834,"not ( always[14,26] ( ( not ( x_0 <= -0.7588 ) and not ( x_1 >= -0.7098 ) ) ) )"
1835,"always[8,11] ( always[27,30] ( eventually ( always[20,inf] ( x_2 <= -0.2386 ) ) ) )"
1836,"( ( always[18,21] ( ( x_1 >= 1.3868 or x_1 <= -0.6345 ) ) until[4,inf] ( always[29,36] ( x_2 >= 0.29 ) until[20,32] ( x_1 <= -2.8989 or x_1 <= -1.2918 ) ) ) or always[3,30] ( always[1,inf] ( ( x_1 <= 1.2628 until x_1 <= -0.1212 ) ) ) )"
1837,"( not ( ( eventually[34,36] ( x_3 >= 0.3322 ) or always[30,36] ( x_0 >= 0.3901 ) ) ) and ( always[14,19] ( ( x_2 >= 1.2162 until[7,inf] x_1 <= -1.7751 ) ) or ( ( x_1 >= 0.8096 and x_1 >= 1.6171 ) until[24,36] eventually[14,18] ( x_0 <= 0.4284 ) ) ) )"
1838,"not ( ( eventually[29,32] ( always ( x_0 >= 1.4938 ) ) or ( ( x_0 <= 0.4158 until[34,36] x_3 <= -0.1865 ) and ( x_0 >= -0.3124 and x_1 >= -0.2082 ) ) ) )"
1839,"( not ( not ( not ( x_1 <= 0.4073 ) ) ) until[32,34] ( ( not ( x_1 <= -1.2838 ) or not ( x_0 >= -1.0751 ) ) and ( ( x_1 >= -0.1677 or x_2 >= -0.8083 ) or ( x_2 >= -0.4919 or x_1 >= -0.5983 ) ) ) )"
1840,"( ( ( always[31,inf] ( x_2 <= 2.0064 ) and ( x_2 <= 1.4687 or x_0 >= -1.6048 ) ) or ( ( x_0 >= -1.0116 or x_2 >= -0.4859 ) until ( x_1 <= -1.0153 or x_1 <= -0.8162 ) ) ) and ( ( eventually[4,32] ( x_0 <= 0.7272 ) and eventually[29,33] ( x_3 >= 0.315 ) ) or eventually[25,33] ( ( x_1 >= 0.7887 and x_2 <= -0.9288 ) ) ) )"
1841,"( ( not ( ( x_2 <= 1.5826 until[12,21] x_1 <= -0.7825 ) ) and always[22,24] ( not ( x_0 <= -0.8292 ) ) ) until[30,35] not ( not ( not ( x_0 <= 0.0548 ) ) ) )"
1842,"( always[33,36] ( ( ( x_0 <= 0.734 and x_1 >= -0.6534 ) and always[14,inf] ( x_3 <= -1.0017 ) ) ) and always[6,25] ( ( ( x_1 >= -0.6716 until[31,36] x_2 <= 1.1759 ) and eventually[29,35] ( x_2 >= -0.3227 ) ) ) )"
1843,"not ( always[28,36] ( ( ( x_1 >= -0.4611 and x_3 <= -0.259 ) or ( x_0 >= 0.1059 and x_1 <= 0.3283 ) ) ) )"
1844,"always[33,inf] ( ( always[12,33] ( ( x_0 >= 0.9254 or x_0 >= 0.8419 ) ) or ( ( x_2 >= 2.6742 and x_0 <= 0.0837 ) and eventually[10,inf] ( x_1 <= 0.1499 ) ) ) )"
1845,"( eventually[1,18] ( not ( always ( x_2 <= 1.156 ) ) ) until[34,inf] not ( ( not ( x_3 <= 1.0033 ) or eventually[17,28] ( x_3 <= 1.0687 ) ) ) )"
1846,"( ( ( ( x_2 >= 0.119 or x_2 <= 1.9841 ) until ( x_2 <= 0.4809 and x_2 >= -2.231 ) ) until[7,inf] ( ( x_0 >= 0.1526 until[23,inf] x_2 <= -0.8812 ) and ( x_2 >= 0.7282 and x_0 <= 0.1881 ) ) ) until ( not ( not ( x_2 <= 0.1924 ) ) until[30,32] eventually[13,29] ( ( x_3 >= 0.1925 and x_3 <= -1.4159 ) ) ) )"
1847,"eventually[25,35] ( not ( eventually[13,35] ( eventually[13,inf] ( x_2 <= 0.6703 ) ) ) )"
1848,"( ( always[0,17] ( ( x_0 <= -1.2071 until[6,31] x_0 >= -1.1522 ) ) or eventually[13,27] ( not ( x_1 <= 1.7494 ) ) ) or ( ( always[1,17] ( x_1 >= 1.76 ) and ( x_2 >= 0.5837 until[33,35] x_3 <= 0.3496 ) ) until[34,36] ( ( x_0 <= 1.0229 and x_0 <= 1.7942 ) or ( x_2 <= -0.5818 or x_2 >= 1.4514 ) ) ) )"
1849,"( ( ( ( x_0 <= 0.1686 or x_0 <= 0.5663 ) until[3,inf] not ( x_1 <= 0.5792 ) ) or ( always[15,30] ( x_3 <= -0.2602 ) and ( x_0 <= 0.5875 or x_1 <= -0.9225 ) ) ) or ( ( ( x_0 >= -0.0691 until[26,33] x_0 >= -1.2988 ) until[17,29] always[6,10] ( x_2 <= -1.0572 ) ) until ( ( x_0 >= 0.0789 or x_2 >= 0.2922 ) and ( x_1 <= 0.1517 until x_0 >= -0.3981 ) ) ) )"
1850,"always[7,30] ( ( ( ( x_0 >= -0.3976 and x_1 >= 0.3966 ) until[16,31] always[17,24] ( x_2 <= 0.1018 ) ) and ( ( x_1 <= 0.2401 until[26,inf] x_0 >= -0.0313 ) or eventually[20,36] ( x_1 <= 0.3434 ) ) ) )"
1851,"( eventually[32,35] ( ( eventually[21,inf] ( x_2 <= 0.7453 ) or eventually[14,17] ( x_1 >= -0.9787 ) ) ) or ( eventually[12,29] ( always[9,18] ( x_0 >= 0.7486 ) ) and ( always[24,33] ( x_0 >= -0.2374 ) until[8,31] not ( x_3 <= 0.1691 ) ) ) )"
1852,"always[34,36] ( ( not ( eventually[4,inf] ( x_0 >= 1.9525 ) ) and ( ( x_2 >= 0.4608 or x_3 >= 0.4326 ) until[13,22] ( x_1 >= 0.5714 until[14,22] x_2 >= -0.3379 ) ) ) )"
1853,"( ( ( always ( x_1 >= -0.0974 ) or ( x_3 <= -0.2648 or x_3 >= 0.0908 ) ) or not ( always[20,35] ( x_2 >= 0.9051 ) ) ) or ( always[10,14] ( not ( x_0 >= 1.0826 ) ) or ( ( x_3 <= -0.0458 and x_2 >= -1.6195 ) and not ( x_3 >= -0.9559 ) ) ) )"
1854,"eventually[1,12] ( ( always ( not ( x_2 >= -0.2632 ) ) and always[23,inf] ( not ( x_1 <= 0.5419 ) ) ) )"
1855,"not ( not ( ( eventually[0,17] ( x_2 <= 0.7648 ) until always[22,31] ( x_2 <= 1.6274 ) ) ) )"
1856,"eventually[7,11] ( ( not ( ( x_0 <= 0.1271 and x_2 <= -1.0737 ) ) and eventually[19,26] ( ( x_0 >= -1.2993 and x_2 <= -0.3083 ) ) ) )"
1857,"not ( not ( ( ( x_1 <= -0.5322 until[33,35] x_3 <= 0.4616 ) until[24,26] not ( x_0 >= -1.11 ) ) ) )"
1858,"( eventually[10,21] ( ( not ( x_1 <= 0.8067 ) until[30,33] not ( x_3 >= -1.0946 ) ) ) or ( not ( ( x_2 <= -1.9481 and x_2 >= -1.5968 ) ) and ( not ( x_3 <= -1.1243 ) and eventually[32,36] ( x_0 <= -0.002 ) ) ) )"
1859,"always[20,28] ( not ( ( always[29,32] ( x_3 <= 0.5849 ) or eventually[0,10] ( x_2 >= 0.2624 ) ) ) )"
1860,"( ( ( eventually[20,32] ( x_3 >= 0.9366 ) or ( x_3 <= 0.7295 and x_1 <= -1.0527 ) ) until[7,23] ( ( x_0 <= -1.2221 or x_2 >= -1.0253 ) or ( x_1 <= 0.3198 until[1,16] x_1 >= -0.4063 ) ) ) or not ( always ( ( x_0 <= 0.571 until[20,22] x_1 >= -1.131 ) ) ) )"
1861,"( not ( eventually[5,8] ( eventually[30,35] ( x_1 <= 0.6602 ) ) ) until[28,32] ( ( eventually[0,16] ( x_0 <= -0.1315 ) or not ( x_2 >= 0.5644 ) ) or ( not ( x_3 <= -0.1662 ) or ( x_3 <= 1.015 and x_1 <= 0.1962 ) ) ) )"
1862,"( ( ( ( x_0 <= -0.4692 or x_1 <= -1.2837 ) or ( x_1 >= -0.3144 and x_2 <= -0.4115 ) ) or not ( not ( x_1 <= -1.1257 ) ) ) until[24,26] always[23,36] ( always[2,12] ( eventually[3,21] ( x_0 <= 0.092 ) ) ) )"
1863,"( ( ( always[24,inf] ( x_1 >= 0.9646 ) or ( x_2 <= 0.3109 or x_2 >= -0.5639 ) ) and always[21,23] ( ( x_0 >= -1.883 until[4,33] x_0 >= -1.048 ) ) ) or eventually[15,36] ( ( always[13,30] ( x_1 <= 0.2228 ) until[13,inf] ( x_2 <= 1.9553 and x_0 <= -1.7945 ) ) ) )"
1864,"( ( ( not ( x_1 >= -0.5715 ) and ( x_2 >= 1.7759 until[10,20] x_2 >= 0.7433 ) ) until[3,32] ( always[14,20] ( x_2 >= 0.364 ) until[16,30] not ( x_3 <= -1.4174 ) ) ) or not ( ( ( x_0 <= -0.4665 and x_2 >= 1.1441 ) and not ( x_2 >= 1.0238 ) ) ) )"
1865,"( always[21,30] ( ( always[8,22] ( x_1 >= -0.1963 ) and ( x_2 >= -0.0013 until[22,36] x_3 >= -0.8867 ) ) ) and not ( always ( ( x_2 <= 0.2849 or x_3 <= -0.0958 ) ) ) )"
1866,"( always[1,11] ( ( ( x_3 >= 1.5734 until[5,35] x_2 >= -0.101 ) and not ( x_2 <= -2.13 ) ) ) and ( eventually[2,14] ( ( x_0 >= 0.9629 or x_2 >= -0.1569 ) ) until ( eventually[25,29] ( x_2 <= -3.2038 ) until[29,32] not ( x_2 >= 1.0064 ) ) ) )"
1867,"not ( eventually[22,29] ( ( ( x_0 >= -0.2687 and x_3 >= -0.5833 ) and eventually[11,inf] ( x_2 >= -1.2198 ) ) ) )"
1868,"( not ( not ( eventually[26,inf] ( x_3 <= -0.5676 ) ) ) until[23,33] ( eventually[34,36] ( not ( x_2 >= 0.3743 ) ) and always[17,19] ( not ( x_0 >= -1.8667 ) ) ) )"
1869,"( ( eventually[30,inf] ( ( x_0 >= 0.5297 and x_2 >= -0.2565 ) ) or ( ( x_3 >= 0.3029 until x_2 <= 0.1468 ) and not ( x_2 >= -1.0758 ) ) ) until always[21,26] ( eventually[6,28] ( not ( x_2 <= 0.0107 ) ) ) )"
1870,"( eventually[18,inf] ( ( not ( x_0 <= -0.7834 ) or ( x_2 <= -0.051 until[31,inf] x_0 <= 0.4965 ) ) ) or always[28,30] ( ( ( x_3 >= -0.9105 until[17,30] x_2 >= 0.33 ) until[9,inf] ( x_1 <= 1.6645 or x_2 >= 0.1855 ) ) ) )"
1871,"( ( ( ( x_1 <= -0.3406 and x_0 >= 0.2787 ) or always[31,34] ( x_1 <= -0.4414 ) ) until[3,inf] ( ( x_1 <= 0.3077 until x_3 <= -0.6694 ) or ( x_0 >= -0.2548 and x_0 <= 1.7728 ) ) ) and not ( eventually[32,34] ( not ( x_3 >= 0.3486 ) ) ) )"
1872,"always[32,36] ( ( eventually[21,inf] ( ( x_1 >= -1.3697 until x_1 <= -1.3412 ) ) or ( ( x_3 >= 1.1615 until x_0 >= 0.1575 ) or always[15,28] ( x_2 >= 0.5339 ) ) ) )"
1873,"( eventually[33,35] ( not ( ( x_3 >= -0.2771 or x_1 >= -0.1305 ) ) ) or not ( not ( ( x_3 >= -0.5266 and x_3 <= 0.2471 ) ) ) )"
1874,"( always[12,17] ( always[3,28] ( eventually[5,22] ( x_1 >= 0.7864 ) ) ) or ( not ( ( x_0 >= 0.0381 and x_0 <= 0.9359 ) ) until[8,inf] not ( always[6,33] ( x_0 >= 0.1248 ) ) ) )"
1875,"always[18,inf] ( ( ( not ( x_2 >= 0.4825 ) and ( x_1 <= 1.1565 or x_1 <= -0.2231 ) ) or ( ( x_2 >= -0.4723 and x_2 >= -0.5867 ) until[30,35] ( x_1 <= 0.1652 until[29,33] x_2 >= -1.044 ) ) ) )"
1876,"( ( ( always[30,32] ( x_1 <= -0.0253 ) until not ( x_3 >= 1.6123 ) ) until ( ( x_0 >= 0.5545 and x_2 >= -0.5669 ) and eventually[26,28] ( x_0 <= 0.3805 ) ) ) or ( ( ( x_1 <= -0.7505 or x_1 >= -0.7446 ) or ( x_2 <= -0.6913 and x_2 >= 0.551 ) ) or always[4,9] ( always[29,inf] ( x_1 >= 0.103 ) ) ) )"
1877,"not ( not ( ( eventually ( x_3 <= -2.956 ) or always[9,15] ( x_3 <= -0.2891 ) ) ) )"
1878,"eventually[33,35] ( always ( ( not ( x_2 <= 0.4563 ) until[27,inf] ( x_0 >= -2.1752 or x_1 >= -0.6244 ) ) ) )"
1879,"eventually[25,30] ( ( not ( eventually[23,inf] ( x_0 <= -1.1291 ) ) until eventually ( eventually[29,inf] ( x_0 <= -0.1173 ) ) ) )"
1880,"eventually[31,inf] ( always[34,36] ( always[14,30] ( ( x_2 <= -1.0139 or x_0 <= 1.1634 ) ) ) )"
1881,"eventually[33,35] ( eventually[7,31] ( not ( ( x_2 >= -0.518 or x_1 <= -0.9814 ) ) ) )"
1882,"( always[19,34] ( not ( ( x_1 <= 0.923 until[26,33] x_0 >= -1.7732 ) ) ) and ( ( not ( x_0 >= -0.2678 ) until[26,30] ( x_3 >= -2.0537 until[28,34] x_0 <= -0.5328 ) ) and always[15,29] ( not ( x_3 >= -1.7259 ) ) ) )"
1883,"eventually[32,34] ( eventually[1,14] ( ( eventually ( x_0 <= 0.3292 ) until[7,inf] eventually[7,12] ( x_0 >= -0.2236 ) ) ) )"
1884,"not ( eventually ( ( eventually[11,25] ( x_2 <= 0.0666 ) until[17,28] ( x_2 >= -0.5493 or x_1 >= 0.6854 ) ) ) )"
1885,"always[14,25] ( not ( ( ( x_1 <= -0.894 or x_2 >= 0.6531 ) or always[31,36] ( x_3 >= -1.2932 ) ) ) )"
1886,"not ( eventually[32,inf] ( eventually ( ( x_1 >= 0.8958 or x_0 >= 0.2973 ) ) ) )"
1887,"( always[7,21] ( ( ( x_1 >= -0.5184 and x_1 <= 0.2439 ) and ( x_3 >= 0.2037 or x_3 <= 0.5654 ) ) ) or always[27,33] ( not ( ( x_3 >= 1.4255 until[12,22] x_1 <= -0.1819 ) ) ) )"
1888,"( ( ( ( x_1 <= -1.1102 until x_2 <= -1.3446 ) or ( x_3 >= -1.6824 until[16,34] x_1 <= -1.8302 ) ) or ( ( x_0 >= 0.5973 or x_0 >= 0.6731 ) or eventually[21,inf] ( x_2 >= 1.4506 ) ) ) or ( ( always[15,33] ( x_3 >= -1.2611 ) until ( x_1 <= 0.181 and x_3 >= -2.0521 ) ) until[0,9] not ( not ( x_0 >= -0.4526 ) ) ) )"
1889,"not ( eventually[30,inf] ( always[12,28] ( eventually ( x_2 <= -0.0455 ) ) ) )"
1890,"not ( ( eventually[22,26] ( eventually[30,34] ( x_0 <= -1.4643 ) ) or always[10,12] ( ( x_3 <= -1.2434 or x_2 <= 0.9747 ) ) ) )"
1891,"( not ( not ( eventually[27,29] ( x_2 >= -2.2677 ) ) ) and ( always[21,inf] ( ( x_0 >= 0.2205 and x_1 <= -0.2352 ) ) or not ( always[8,18] ( x_1 >= 1.4443 ) ) ) )"
1892,"( not ( ( always[8,19] ( x_1 >= 0.7975 ) until[21,inf] ( x_0 <= 0.8254 or x_3 <= 1.2215 ) ) ) until eventually[29,inf] ( always[19,29] ( ( x_0 >= 0.0323 and x_2 >= 0.9863 ) ) ) )"
1893,"( ( ( always[8,inf] ( x_0 <= -0.6782 ) and eventually[6,12] ( x_0 >= 1.2069 ) ) until[20,29] not ( always[26,34] ( x_1 >= -1.7352 ) ) ) until[4,inf] ( ( ( x_1 >= 1.0967 or x_2 <= 1.4848 ) and always[4,17] ( x_2 <= -1.4778 ) ) or not ( ( x_3 <= -1.0796 and x_2 >= -1.5181 ) ) ) )"
1894,"( ( ( not ( x_1 >= -3.5119 ) and ( x_2 <= 1.6798 and x_2 >= -0.7978 ) ) and eventually[24,33] ( not ( x_3 <= -1.7106 ) ) ) until[20,27] ( ( not ( x_3 <= 0.5758 ) or ( x_3 >= 0.884 and x_3 >= -2.1697 ) ) and always[14,18] ( always[3,17] ( x_3 >= 1.4454 ) ) ) )"
1895,"not ( ( ( ( x_2 >= -0.844 and x_3 <= -0.9608 ) and always[27,inf] ( x_0 >= 0.4308 ) ) and ( ( x_0 >= 0.8875 and x_3 >= 0.8147 ) or eventually ( x_0 <= 0.7078 ) ) ) )"
1896,"always[25,36] ( ( ( ( x_1 <= 1.9494 and x_2 >= 0.1334 ) and eventually[30,inf] ( x_0 >= -0.3192 ) ) until[28,35] not ( always ( x_1 >= 0.002 ) ) ) )"
1897,"not ( ( ( eventually[20,23] ( x_2 >= -0.8325 ) until[26,35] not ( x_2 >= -0.3351 ) ) or ( ( x_0 >= -0.4051 until[24,34] x_2 <= -0.575 ) and ( x_1 <= 0.4296 and x_0 <= 0.6845 ) ) ) )"
1898,"( ( ( not ( x_2 >= 0.108 ) until always[7,18] ( x_1 <= 1.643 ) ) and eventually[21,35] ( ( x_2 >= 1.3445 and x_0 >= 0.3204 ) ) ) and not ( always[23,30] ( ( x_3 <= -0.2243 or x_0 >= 0.9669 ) ) ) )"
1899,"always[17,19] ( not ( ( always[21,27] ( x_2 >= 0.4 ) or ( x_0 >= -1.0347 or x_3 >= -1.1411 ) ) ) )"
1900,"not ( always[13,22] ( always[26,28] ( ( x_1 >= -1.3373 until[18,35] x_1 >= 0.7354 ) ) ) )"
1901,"( ( ( eventually ( x_2 <= -2.2537 ) and ( x_2 >= 0.5697 until[7,20] x_1 <= 1.7262 ) ) until[34,36] ( not ( x_3 <= 0.3827 ) and not ( x_1 >= -0.117 ) ) ) and eventually[3,17] ( ( ( x_0 >= -0.6918 and x_2 <= 0.2403 ) or always[16,31] ( x_3 <= -0.3937 ) ) ) )"
1902,"eventually[20,36] ( ( ( ( x_0 <= -0.3715 and x_1 >= -1.3842 ) or always[1,inf] ( x_3 <= -1.2909 ) ) and not ( ( x_3 >= -0.9813 or x_3 <= 1.7819 ) ) ) )"
1903,"not ( always[33,36] ( not ( not ( x_0 <= -1.3049 ) ) ) )"
1904,"not ( ( ( ( x_0 <= -0.1356 and x_1 >= -0.8656 ) until[7,28] ( x_0 >= 0.7763 or x_3 <= 0.7282 ) ) until[26,inf] not ( ( x_0 >= 0.2567 until[34,36] x_0 <= 0.7634 ) ) ) )"
1905,"( eventually[5,27] ( always[3,17] ( ( x_3 >= -0.2092 and x_3 <= 0.0553 ) ) ) or ( ( ( x_3 >= 0.3788 until[25,32] x_2 >= 0.7098 ) until[18,21] ( x_1 >= 0.6374 and x_3 >= 1.0213 ) ) and ( ( x_1 >= 0.1475 and x_2 >= 0.2328 ) and ( x_2 <= 0.5706 until[0,36] x_3 <= -0.6316 ) ) ) )"
1906,"eventually[32,35] ( ( ( ( x_1 >= -0.4725 and x_3 <= 1.1214 ) or ( x_0 >= -2.1393 or x_3 >= 0.2645 ) ) and always[2,5] ( ( x_1 <= -1.236 and x_2 <= -0.2657 ) ) ) )"
1907,"( always[23,30] ( eventually ( not ( x_2 <= 0.4106 ) ) ) and ( ( ( x_0 <= 0.0228 or x_2 <= 0.1532 ) and ( x_2 >= 0.0369 until[28,inf] x_3 >= 0.8041 ) ) until[8,26] not ( ( x_1 >= -0.8978 until[17,inf] x_1 >= 0.9963 ) ) ) )"
1908,"( not ( ( not ( x_1 >= 0.6774 ) or ( x_0 >= 0.5061 or x_0 <= 1.0899 ) ) ) or ( ( always[33,36] ( x_0 <= -2.1294 ) and ( x_2 <= 0.7473 until[19,23] x_0 <= 1.0651 ) ) until[29,31] always[12,35] ( not ( x_0 <= -0.484 ) ) ) )"
1909,"( ( not ( ( x_1 >= -0.6476 and x_3 <= -0.9445 ) ) or eventually[5,24] ( ( x_2 >= 0.8587 and x_3 <= 1.8207 ) ) ) and always[29,34] ( eventually[26,33] ( not ( x_1 <= -0.529 ) ) ) )"
1910,"always[21,33] ( ( eventually[30,inf] ( eventually[1,24] ( x_2 <= 1.2594 ) ) or not ( not ( x_0 <= 1.0437 ) ) ) )"
1911,"not ( always[23,inf] ( ( always[4,20] ( x_3 >= -0.4035 ) or not ( x_3 >= 0.0088 ) ) ) )"
1912,"( ( ( ( x_0 <= -0.3236 or x_0 >= 1.7557 ) until[4,8] always[21,25] ( x_0 >= -1.3464 ) ) until[2,29] ( not ( x_3 >= -0.4639 ) or ( x_2 <= 1.2134 or x_3 <= 0.9934 ) ) ) and ( ( always[28,inf] ( x_0 >= -0.3223 ) or always[27,inf] ( x_1 <= 1.0299 ) ) and not ( eventually[8,inf] ( x_3 <= 0.0002 ) ) ) )"
1913,"( eventually[13,21] ( eventually[11,inf] ( not ( x_0 >= 0.7573 ) ) ) and not ( not ( always[9,27] ( x_0 <= -0.0432 ) ) ) )"
1914,"( always[20,36] ( ( not ( x_0 >= 0.4345 ) until[31,36] ( x_1 <= -0.5505 until[7,18] x_1 >= 0.3649 ) ) ) until[0,inf] always ( not ( always ( x_3 >= 0.9355 ) ) ) )"
1915,"eventually[23,inf] ( ( not ( ( x_2 >= -0.2034 and x_2 >= 1.1424 ) ) and ( ( x_2 <= 0.9147 and x_1 >= -0.0947 ) and ( x_2 <= -0.4552 until[9,20] x_2 >= 0.401 ) ) ) )"
1916,"eventually[5,19] ( always[7,inf] ( eventually[2,21] ( eventually[15,inf] ( x_3 <= 0.5137 ) ) ) )"
1917,"( always[4,30] ( not ( not ( x_3 >= -1.3527 ) ) ) until[16,31] ( ( eventually[6,32] ( x_1 >= -0.2128 ) and ( x_2 <= 0.0306 until[7,inf] x_1 <= 0.2124 ) ) and not ( ( x_0 >= 1.0653 or x_0 >= -0.4705 ) ) ) )"
1918,"( ( eventually[3,34] ( ( x_2 <= 0.6383 or x_3 <= 1.1723 ) ) or ( ( x_2 <= 0.9461 or x_0 >= 1.9958 ) until[12,20] not ( x_1 >= 0.578 ) ) ) and not ( eventually[14,29] ( ( x_2 >= 0.9448 or x_2 <= 2.4577 ) ) ) )"
1919,"( not ( ( not ( x_0 <= 0.489 ) or ( x_0 <= 0.4551 until x_2 <= 0.0565 ) ) ) and eventually[8,15] ( eventually[25,34] ( always[26,28] ( x_3 >= -0.8777 ) ) ) )"
1920,"always[17,inf] ( ( ( ( x_2 <= 1.6509 until[30,36] x_2 <= -0.0109 ) and ( x_3 <= 0.3561 until x_0 >= -1.1822 ) ) or not ( ( x_1 >= -0.893 and x_1 <= -0.4212 ) ) ) )"
1921,"( not ( ( eventually[4,11] ( x_1 >= 1.4111 ) until[24,28] not ( x_2 <= 0.4894 ) ) ) and ( eventually[28,31] ( not ( x_3 <= -0.162 ) ) and ( always[2,inf] ( x_0 >= -0.4392 ) and eventually[18,24] ( x_1 <= 0.7647 ) ) ) )"
1922,"( ( ( always[12,22] ( x_1 >= 0.2248 ) until[11,34] eventually[21,24] ( x_2 <= -2.0613 ) ) and not ( always[25,36] ( x_2 >= 0.0194 ) ) ) or ( eventually[4,16] ( always[27,inf] ( x_0 <= 1.278 ) ) or ( not ( x_3 >= 1.9066 ) until[21,inf] ( x_2 >= 0.6179 or x_2 <= -1.4113 ) ) ) )"
1923,"eventually[6,33] ( eventually[8,19] ( eventually[6,inf] ( always[9,19] ( x_1 >= -0.4112 ) ) ) )"
1924,"( ( ( eventually[25,36] ( x_0 <= 0.6391 ) and ( x_2 >= -0.5843 and x_2 <= 0.2621 ) ) or ( ( x_1 <= 0.4342 until x_3 <= -0.1728 ) or not ( x_3 <= 0.2135 ) ) ) until[3,11] ( ( ( x_2 >= -1.6893 or x_2 >= -0.7836 ) and ( x_3 >= 0.8164 or x_3 >= -0.9319 ) ) or eventually[10,35] ( eventually[14,18] ( x_2 >= 0.8218 ) ) ) )"
1925,"eventually[22,inf] ( always[21,35] ( eventually ( always ( x_1 <= 0.3158 ) ) ) )"
1926,"always[29,36] ( not ( ( eventually[7,inf] ( x_0 <= -0.2217 ) or eventually ( x_3 >= 1.5502 ) ) ) )"
1927,"always[10,22] ( eventually[33,inf] ( always[4,10] ( always[28,30] ( x_3 <= 2.0576 ) ) ) )"
1928,"eventually[25,31] ( not ( eventually[32,inf] ( ( x_1 <= 0.1627 until x_0 >= -1.0833 ) ) ) )"
1929,"( ( not ( not ( x_2 <= 1.0774 ) ) until ( not ( x_3 >= 1.3807 ) or ( x_3 >= 2.4688 and x_2 >= 0.1523 ) ) ) until[19,24] always[6,9] ( not ( not ( x_3 >= -0.62 ) ) ) )"
1930,"not ( always[30,32] ( ( not ( x_2 <= -1.9003 ) until[15,27] eventually[26,32] ( x_2 >= -2.0417 ) ) ) )"
1931,"( ( ( always[13,15] ( x_3 <= 0.0754 ) or not ( x_0 >= -1.266 ) ) or ( ( x_1 <= -0.2696 until[31,36] x_3 <= 0.3595 ) until[12,32] ( x_1 >= 2.5349 and x_3 >= 1.7257 ) ) ) and ( ( not ( x_1 >= -0.287 ) or ( x_0 >= 1.2805 or x_1 <= 0.8782 ) ) until[28,34] not ( not ( x_0 <= 1.55 ) ) ) )"
1932,"not ( always ( eventually[9,34] ( eventually[5,28] ( x_2 <= 0.7911 ) ) ) )"
